theme;author;views;messages;timestamp;last_editor
Праздники и выходные;zzz;3716;1;1412852520;zzz
ASCIIsoft;zzz;3689;1;1412345100;zzz
Олимпиадные тренировки I курса 2014/15 уч. года;zzz;3875;1;1410966360;zzz
Конспект лекций 2011 г.;zzz;6561;2;1410012300;zzz
Предварительное расписание занятий I курса 8 факультета в осеннем семестре 2014/15 уч. года;zzz;30061;18;1410008640;zzz
Материалы к ЛР № 1 (2011);zzz;16044;9;1409670360;zzz
Материалы к ЛР № 2 (2011);zzz;6968;3;1409504880;zzz
Группа 8О-101Б;Momsen;4139;1;1409339400;Momsen
Распределение по группам студентов I курса 2014 г.;zzz;5444;1;1409256660;zzz
Пересдачи 8 факультет;Марина;6299;3;1408471740;Марина
Журнал;Ivan;5200;2;1405012080;zzz
Учебная практика по каф. 806;Lonik;12498;7;1404756540;zzz
Экзамен июнь 2014;ALEX_;12477;7;1404396300;zzz
Распределение по кафедрам;Mashka Klimenko;6586;2;1403460540;zzz
Ведомости;w-495;7589;4;1402927500;zzz
231300 --> 010400;zzz;11185;7;1402305120;zzz
Дополнение к конспекту (деревья выражений) и образец журнала по практике для олимпиадников 2013 г.;Bales31;6368;3;1401304200;monomah
Почему C++ медленнее питона;w-495;4031;1;1401300540;w-495
Больше TeX-примеров, красивых и разных;w-495;24005;7;1400929320;w-495
Академический день Microsoft;zzz;3742;1;1400609340;zzz
Программа передач на май 2014;zzz;9605;5;1399907160;zzz
Обратное проектирование для начинающих;w-495;3583;1;1399817100;w-495
Коллекция разреженных матриц;w-495;3771;1;1398874020;w-495
Скрипт для тестирования разреженных матриц (генератор тестов);w-495;5225;2;1398794940;w-495
Визуализатор сортировок;zzz;4697;2;1397747160;Dron-elektron
На каких языках пишут в Яндексе;w-495;4134;1;1395237900;w-495
Пересдачи экзамена 2013/14;zzz;51928;38;1394874720;zzz
C праздником!;zzz;3461;1;1394302140;zzz
Задачи на Bash из реальной жизни;w-495;126438;3;1394150580;w-495
LaTeX в Web-документах;zzz;4361;2;1394031960;w-495
Тестирование ЛР 20 и ЛР 21;w-495;10317;3;1393243380;w-495
Про верстку: Рекомендации по оформлению текстов от РИА;w-495;3547;1;1392775500;w-495
Задание к ЛР № 21 2011/12 уч. год;zzz;15893;5;1392552180;w-495
Задание к ЛР № 20 2011/12 уч. год;zzz;18737;8;1392307620;Галина
Новое расписание(весна 2014);Ivan;9752;6;1392228540;zzz
Предварительное расписание занятий I курса на осенний семестр 2013/14 учебного года;zzz;37912;23;1390842480;zzz
Результаты экзамена. Осень 2013.;zzz;3912;1;1390658700;zzz
Устройство сети и аппаратное обеспечение кафедры. Ошибки в схеме.;w-495;6766;3;1389334140;w-495
Примеры к лекциям по ТеХу;DEMAGOG;7259;4;1388786460;w-495
C и С++ или что посмотреть в праздники;w-495;4810;2;1388164080;Serj
Всем, кто желает установить UNIX для учебы.;Zetal;43016;22;1387717440;zzz
Тестирование задач на матрицы (14 и 15 ЛР);w-495;3417;1;1386882720;w-495
Cхема домашнего компьютера;w-495;6707;1;1386569340;w-495
Перевод чисел в систему исчисления с произвольным основанием;w-495;3361;1;1384765920;w-495
Пересдача. 2 сем.;bigsmiler;4465;2;1383660300;zzz
Зачёт № 3;ALEX_;4700;2;1383055500;zzz
Исправление алгоритма Маркова для выделения среднего члена последовательности.;Gasan;4459;2;1381597680;KuBBu
Шифрования данных.;Gasan;3357;1;1380964320;Gasan
Алгоритм Маркова(копирование двоичного числа);Gasan;4652;1;1380754920;Gasan
Очередная пересдача...;bigsmiler;4484;2;1380452520;zzz
rsync vs scp;w-495;3502;1;1380369780;w-495
(Интерпретатор) машин Тьюринга;ALEX_;5605;2;1379516760;zzz
III пересдача (осень 2013);zzz;3424;1;1379437680;zzz
Группы 2013 года приёма;zzz;5615;2;1377968880;zzz
Запись на II пересдачу 13 июля 2013 г.;zzz;31566;26;1373645220;mm
I пересдача;zzz;3095;1;1372943040;zzz
Направление 010400: дисциплины по выбору;zzz;5370;3;1372608420;zzz
Найдена флешка;JArling;2873;1;1372101000;JArling
Экзаменационные вопросы!;elena_kireeva;4559;2;1371935520;zzz
Время начала экзамена;Cauchy;4176;2;1371935520;zzz
ЛР 25 и 26;elena_kireeva;5410;3;1369202940;elena_kireeva
Отчет олимпиадникам;Lordif;4317;2;1368990600;zzz
Материалы по алгоритмам разбора дерева выражений с лекции 08.05.2013;MaximusSilin;5729;3;1368558600;MaximusSilin
Рейтинговый зачёт за весенний семестр 2012/13 уч. года.;zzz;3342;1;1366132080;zzz
23 лабораторная;elena_kireeva;3105;1;1364666940;elena_kireeva
23 лабораторная;-;4682;2;1364637660;zzz
Пересдачи, февраль 2013;zzz;16069;12;1362769800;zzz
Задание №6 курсового проекта;elena_kireeva;5470;3;1362345120;elena_kireeva
Предварительное расписание занятий II семестра 2012/13 уч. года;zzz;11546;8;1360854360;zzz
Вопросы к экзамену за весенний семестр 2010/11 уч. года;Kitsune;13602;10;1360138260;zhtw
Время начала экзамена;vj7;4159;2;1358784420;zzz
Экзамены, январь 2013;zzz;3153;1;1358701680;zzz
Вопросы к экзамену за осенний семестр 2012/13 уч. года;elena_kireeva;9749;5;1358424180;zzz
Когда и где можно найти Никулина С.П.?;dimka1911;5256;3;1357330260;dimka1911
Консультация/зачет;grisha;4015;2;1356469920;zzz
Вниманию гр. 08-105!!!;zzz;3277;1;1355854140;zzz
Курсач: how to report;Настюха;11079;2;1355234700;zzz
В 438 ГУК "Б" найдена флешка на имя студента Седова;zzz;4987;3;1354644540;zzz
Программа передач на среду 28 ноября 2012 г.;zzz;6554;3;1354039740;zzz
Диаграммер JDT;Lordif;6077;3;1351184880;BrainDamaged
Пересдача;Bijou;6451;4;1348833780;zzz
Лекция по UNIX вместо матана;zzz;2980;1;1348765680;zzz
Зарядник  для ноута ...;zzz;5069;3;1348765680;zzz
забыл электронную книгу;amiD;4937;3;1348682940;amiD
Практика;Nazomg;17361;13;1348600200;Havoc
Поздравление;zzz;3895;2;1348592880;Hibert2409
практика;rewad;3805;2;1347653460;zzz
Потерял пароль и логин что делать?;Левон;5237;3;1347354720;Левон
Списки групп 8 факультета. Приём 2012 г.;zzz;18322;9;1346436540;zzz
Предварительное расписание занятий I семестра 2012/13 уч. года;zzz;3171;1;1346331840;zzz
Практика, практика..;CreepyCake;37213;25;1345831740;zzz
Бумага для принтера LA-120;zzz;4217;2;1342253460;zzz
Бумага для принтера LA-120;-;10866;8;1342195620;zzz
